ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
FL-107,Putnam County,Florida,59.2,1.3,79,57.9
FL-109,St. Johns County,Florida,59.2,2.1,87,57.1
FL-111,St. Lucie County,Florida,64.9,1.4,84,63.5
FL-113,Santa Rosa County,Florida,56.7,2.9,98,53.8
FL-115,Sarasota County,Florida,62.4,-0.5,55,62.9
FL-117,Seminole County,Florida,62,1.2,79,60.8
FL-119,Sumter County,Florida,60.5,1,76,59.5
FL-121,Suwannee County,Florida,55.5,0.4,71,55.1
FL-123,Taylor County,Florida,56.2,1.2,77,55
FL-125,Union County,Florida,56.6,0.6,72,56
FL-127,Volusia County,Florida,61,1.3,79,59.7
FL-129,Wakulla County,Florida,56,1.4,79,54.6
FL-131,Walton County,Florida,55.2,1.9,87,53.3
FL-133,Washington County,Florida,55.3,1.5,82,53.8
GA-001,Appling County,Georgia,54.2,2.1,89,52.1
GA-003,Atkinson County,Georgia,53.7,1.2,79,52.5
GA-005,Bacon County,Georgia,54.1,1.7,87,52.4
GA-007,Baker County,Georgia,53.9,1.5,87,52.4
GA-009,Baldwin County,Georgia,51.9,4.1,108,47.8
GA-011,Banks County,Georgia,49.9,5.4,119,44.5
GA-013,Barrow County,Georgia,50.4,5.8,121,44.6
GA-015,Bartow County,Georgia,49.3,5.5,119,43.8
GA-017,Ben Hill County,Georgia,52.4,1.5,80,50.9
GA-019,Berrien County,Georgia,53.3,1.1,79,52.2
GA-021,Bibb County,Georgia,51.5,3.3,100,48.2
GA-023,Bleckley County,Georgia,51.9,2.3,92,49.6
GA-025,Brantley County,Georgia,55.4,2.4,90,53
GA-027,Brooks County,Georgia,54.6,1.4,83,53.2
GA-029,Bryan County,Georgia,54.4,2.2,89,52.2
GA-031,Bulloch County,Georgia,53.3,2.4,90,50.9
GA-033,Burke County,Georgia,51.9,3.2,100,48.7
GA-035,Butts County,Georgia,51.4,5.2,116,46.2
GA-037,Calhoun County,Georgia,53.6,1.9,85,51.7
GA-039,Camden County,Georgia,56.5,2.4,90,54.1
GA-043,Candler County,Georgia,53.6,2.9,95,50.7
GA-045,Carroll County,Georgia,49.9,5.7,118,44.2
GA-047,Catoosa County,Georgia,49.1,6.6,121,42.5
GA-049,Charlton County,Georgia,56,1.9,86,54.1
GA-051,Chatham County,Georgia,54.4,2.2,85,52.2
GA-053,Chattahoochee County,Georgia,52.8,3.5,102,49.3
GA-055,Chattooga County,Georgia,48.8,5.4,119,43.4
GA-057,Cherokee County,Georgia,49.2,6.1,122,43.1
GA-059,Clarke County,Georgia,50.4,5.3,119,45.1
GA-061,Clay County,Georgia,53.7,2.4,91,51.3
GA-063,Clayton County,Georgia,51.2,6.1,121,45.1
GA-065,Clinch County,Georgia,54.7,1.1,77,53.6
GA-067,Cobb County,Georgia,49.9,6.1,122,43.8
GA-069,Coffee County,Georgia,53.2,1.4,80,51.8
GA-071,Colquitt County,Georgia,53.5,1.2,83,52.3
GA-073,Columbia County,Georgia,51.1,3.8,103,47.3
GA-075,Cook County,Georgia,53.6,1.1,80,52.5
GA-077,Coweta County,Georgia,51,5.7,119,45.3
GA-079,Crawford County,Georgia,51.4,3.3,103,48.1
GA-081,Crisp County,Georgia,51.8,1.8,85,50
GA-083,Dade County,Georgia,48.2,6.5,121,41.7
GA-085,Dawson County,Georgia,48,5.9,122,42.1
GA-087,Decatur County,Georgia,54.9,1.7,86,53.2
GA-089,DeKalb County,Georgia,50.7,6.3,122,44.4
GA-091,Dodge County,Georgia,52.2,2,86,50.2
GA-093,Dooly County,Georgia,51.6,2.1,87,49.5
GA-095,Dougherty County,Georgia,53.4,1.8,87,51.6
GA-097,Douglas County,Georgia,50.2,6.1,121,44.1
GA-099,Early County,Georgia,54,1.7,85,52.3
GA-101,Echols County,Georgia,54.7,0.7,73,54
GA-103,Effingham County,Georgia,53.2,2.1,86,51.1
GA-105,Elbert County,Georgia,50.4,5.5,120,44.9
GA-107,Emanuel County,Georgia,53.2,3.2,104,50
GA-109,Evans County,Georgia,54,2.3,89,51.7
GA-111,Fannin County,Georgia,45,5.3,116,39.7
GA-113,Fayette County,Georgia,51.1,5.8,120,45.3
GA-115,Floyd County,Georgia,49.2,5.1,118,44.1
GA-117,Forsyth County,Georgia,49.1,6,123,43.1
GA-119,Franklin County,Georgia,49.8,5.2,119,44.6
GA-121,Fulton County,Georgia,50.5,6.3,122,44.2
GA-123,Gilmer County,Georgia,46.6,5.9,121,40.7
GA-125,Glascock County,Georgia,51.7,3.9,106,47.8
GA-127,Glynn County,Georgia,56.2,2.5,91,53.7
GA-129,Gordon County,Georgia,49.3,5.8,120,43.5
GA-131,Grady County,Georgia,55,1.8,88,53.2
GA-133,Greene County,Georgia,51.3,5.1,117,46.2
GA-135,Gwinnett County,Georgia,50.1,6.1,122,44
GA-137,Habersham County,Georgia,47.8,4.8,116,43
GA-139,Hall County,Georgia,49.3,5.7,122,43.6
GA-141,Hancock County,Georgia,51.8,4.5,112,47.3
GA-143,Haralson County,Georgia,49.1,5.5,116,43.6
GA-145,Harris County,Georgia,51.6,4.1,108,47.5
GA-147,Hart County,Georgia,49.8,5.4,119,44.4
GA-149,Heard County,Georgia,50.8,5.5,117,45.3
GA-151,Henry County,Georgia,51.2,5.6,118,45.6
GA-153,Houston County,Georgia,51.6,2.5,92,49.1
GA-155,Irwin County,Georgia,52.6,1.4,83,51.2
GA-157,Jackson County,Georgia,50.3,5.6,121,44.7
GA-159,Jasper County,Georgia,51.1,5,114,46.1
GA-161,Jeff Davis County,Georgia,53.1,1.6,85,51.5
GA-163,Jefferson County,Georgia,52.2,3.7,106,48.5
GA-165,Jenkins County,Georgia,52.5,3.2,99,49.3
GA-167,Johnson County,Georgia,53,3.5,107,49.5
GA-169,Jones County,Georgia,51.3,3.9,106,47.4
GA-171,Lamar County,Georgia,51.4,4.7,113,46.7
GA-173,Lanier County,Georgia,53.9,0.9,78,53
